圏域名,人口,0-64歳,65歳以上,高齢化率
1南総北,7589,4890,2699,35.5646330214785
2南総西,9917,6302,3615,36.4525562165978
3南総東,6203,3824,2379,38.3524101241335
4加茂,5398,2925,2473,45.8132641719155
5市原東,20707,13754,6953,33.5780170956681
6辰巳台,12079,10046,2033,16.8308634820763
7市津,13882,8716,5166,37.2136579743553
8ちはら台,25316,22534,2782,10.9890978037605
9市原北,21481,16208,5273,24.5472743354592
10市原西,9962,6381,3581,35.9465970688617
11五井西,19522,15947,3575,18.3126728818769
12五井南,6574,4509,2065,31.4116215393976
13五井東,33389,26211,7178,21.498098176046
14国分寺台,28111,21271,6840,24.3321119846324
15三和,14656,9313,5343,36.4560589519651
16姉崎,22314,16613,5701,25.548982701443
17青葉台,7743,4799,2944,38.0214387188428
18有秋,18098,13143,4955,27.3787158802078
